gene_id,gene_name,shared_processes,gene_processes,lgals3_processes,jaccard_similarity
ENSG00000089177,kinesin family member 16B,0,12,27,0.0
ENSG00000162104,adenylate cyclase 9,0,7,27,0.0
ENSG00000197249,serpin family A member 1,0,3,27,0.0
ENSG00000099624,ATP synthase F1 subunit delta,0,8,27,0.0
ENSG00000141510,tumor protein p53,0,143,27,0.0
ENSG00000087303,nidogen 2,0,3,27,0.0
ENSG00000084674,apolipoprotein B,0,34,27,0.0
ENSG00000133657,ATPase 13A3,0,5,27,0.0
ENSG00000105568,protein phosphatase 2 scaffold subunit Aalpha,0,18,27,0.0
ENSG00000138376,BRCA1 associated RING domain 1,0,21,27,0.0
ENSG00000113441,leucyl and cystinyl aminopeptidase,0,10,27,0.0
ENSG00000085563,ATP binding cassette subfamily B member 1,0,62,27,0.0
ENSG00000081237,protein tyrosine phosphatase receptor type C,0,69,27,0.0
ENSG00000121410,alpha-1-B glycoprotein,0,1,27,0.0
ENSG00000197471,sialophorin,0,25,27,0.0
ENSG00000152894,protein tyrosine phosphatase receptor type K,0,15,27,0.0
ENSG00000003989,solute carrier family 7 member 2,0,8,27,0.0
ENSG00000101680,laminin subunit alpha 1,0,17,27,0.0
ENSG00000117298,endothelin converting enzyme 1,0,25,27,0.0
ENSG00000134575,"acid phosphatase 2, lysosomal",0,2,27,0.0
ENSG00000108679,galectin 3 binding protein,0,4,27,0.0
ENSG00000159216,RUNX family transcription factor 1,0,27,27,0.0
ENSG00000014216,calpain 1,0,8,27,0.0
ENSG00000198121,lysophosphatidic acid receptor 1,0,33,27,0.0
ENSG00000132470,integrin subunit beta 4,0,18,27,0.0
ENSG00000205352,proline rich 13,0,0,27,0.0
ENSG00000146555,sidekick cell adhesion molecule 1,0,6,27,0.0
ENSG00000134247,prostaglandin F2 receptor inhibitor,0,2,27,0.0
ENSG00000110169,hemopexin,0,10,27,0.0
ENSG00000135898,G protein-coupled receptor 55,0,8,27,0.0
ENSG00000083750,Ras related GTP binding B,0,9,27,0.0
ENSG00000118137,apolipoprotein A1,0,55,27,0.0
ENSG00000170417,transmembrane protein 182,0,5,27,0.0
ENSG00000155850,solute carrier family 26 member 2,0,6,27,0.0
ENSG00000124067,solute carrier family 12 member 4,0,10,27,0.0
ENSG00000102882,mitogen-activated protein kinase 3,0,70,27,0.0
ENSG00000240021,testis expressed 35,0,0,27,0.0
ENSG00000001167,nuclear transcription factor Y subunit alpha,0,6,27,0.0
ENSG00000186907,reticulon 4 receptor like 2,0,5,27,0.0
ENSG00000128567,podocalyxin like,0,10,27,0.0
ENSG00000112234,F-box and leucine rich repeat protein 4,0,5,27,0.0
ENSG00000174233,adenylate cyclase 6,0,16,27,0.0
ENSG00000170385,solute carrier family 30 member 1,0,20,27,0.0
ENSG00000113712,casein kinase 1 alpha 1,0,25,27,0.0
ENSG00000037280,fms related receptor tyrosine kinase 4,0,27,27,0.0
ENSG00000138031,adenylate cyclase 3,0,11,27,0.0
ENSG00000175899,alpha-2-macroglobulin,0,2,27,0.0
ENSG00000101266,casein kinase 2 alpha 1,0,34,27,0.0
ENSG00000143322,"ABL proto-oncogene 2, non-receptor tyrosine kinase",0,19,27,0.0
ENSG00000145358,DNA damage inducible transcript 4 like,0,1,27,0.0
ENSG00000037749,microfibril associated protein 3,0,0,27,0.0
ENSG00000204520,MHC class I polypeptide-related sequence A,0,0,27,0.0
ENSG00000106278,protein tyrosine phosphatase receptor type Z1,0,13,27,0.0
ENSG00000100985,matrix metallopeptidase 9,0,27,27,0.0
ENSG00000091513,transferrin,0,13,27,0.0
ENSG00000122778,KIAA1549,0,0,27,0.0
ENSG00000097007,"ABL proto-oncogene 1, non-receptor tyrosine kinase",0,130,27,0.0
ENSG00000171791,BCL2 apoptosis regulator,0,157,27,0.0
ENSG00000167110,golgin A2,0,17,27,0.0
ENSG00000069188,sidekick cell adhesion molecule 2,0,5,27,0.0
ENSG00000091136,laminin subunit beta 1,0,16,27,0.0
ENSG00000147316,microcephalin 1,0,11,27,0.0
ENSG00000008282,synaptophysin like 1,0,1,27,0.0
ENSG00000229314,orosomucoid 1,0,8,27,0.0
