disease_name,disease_id,ontology_prefix,display_group,relation,evidence_score,evidence_count,number_of_pmids,number_of_snps,disease_specificity_index,disease_pleiotropy_index,year_initial,year_final,direct_sources
uterine cervix neoplasm,MONDO_0021230,MONDO,disease / other candidate,ASSOCIATED_WITH,0.07074621132680299,31,,,,,,,"[""OPEN_TARGETS""]"
pituitary deficiency,MONDO_0015127,MONDO,disease / other candidate,ASSOCIATED_WITH,0.0705638824188274,31,,,,,,,"[""OPEN_TARGETS""]"
non-acquired pituitary hormone deficiency,MONDO_0019824,MONDO,disease / other candidate,ASSOCIATED_WITH,0.0705638824188274,31,,,,,,,"[""OPEN_TARGETS""]"
congenital disorder of glycosylation,MONDO_0015286,MONDO,disease / other candidate,ASSOCIATED_WITH,0.07045309102771105,21,,,,,,,"[""OPEN_TARGETS""]"
disorder of glycosylation,MONDO_0024322,MONDO,disease / other candidate,ASSOCIATED_WITH,0.07045309102771105,21,,,,,,,"[""OPEN_TARGETS""]"
systemic lupus erythematosus,MONDO_0007915,MONDO,disease / other candidate,ASSOCIATED_WITH,0.07022017239009333,2,,,,,,,"[""OPEN_TARGETS""]"
viral respiratory tract infection,MONDO_0024352,MONDO,disease / other candidate,ASSOCIATED_WITH,0.07013594991715946,15,,,,,,,"[""OPEN_TARGETS""]"
influenza,EFO_0007328,EFO,disease / other candidate,ASSOCIATED_WITH,0.07010516928809304,14,,,,,,,"[""OPEN_TARGETS""]"
hyper-IgE syndrome,MONDO_0018037,MONDO,disease / other candidate,ASSOCIATED_WITH,0.06996016677821532,11,,,,,,,"[""OPEN_TARGETS""]"
cervical cancer,MONDO_0002974,MONDO,disease / other candidate,ASSOCIATED_WITH,0.06988291713173822,28,,,,,,,"[""OPEN_TARGETS""]"
hyper-IgM syndrome,MONDO_0003947,MONDO,disease / other candidate,ASSOCIATED_WITH,0.06987700373471044,10,,,,,,,"[""OPEN_TARGETS""]"
inborn disorder of amino acid metabolism,MONDO_0004736,MONDO,disease / other candidate,ASSOCIATED_WITH,0.06967354310148602,12,,,,,,,"[""OPEN_TARGETS""]"
amino acid metabolism disease,MONDO_0037871,MONDO,disease / other candidate,ASSOCIATED_WITH,0.06967354310148602,12,,,,,,,"[""OPEN_TARGETS""]"
inherited lipid metabolism disorder,MONDO_0002525,MONDO,disease / other candidate,ASSOCIATED_WITH,0.06952653059131093,39,,,,,,,"[""OPEN_TARGETS""]"
osteogenesis imperfecta and a reduction of bone mineral density.,MONDO_0800064,MONDO,disease / other candidate,ASSOCIATED_WITH,0.06929517766368137,6,,,,,,,"[""OPEN_TARGETS""]"
type IV hypersensitivity disease,MONDO_0002459,MONDO,disease / other candidate,ASSOCIATED_WITH,0.0692116726040046,8,,,,,,,"[""OPEN_TARGETS""]"
autoimmune lymphoproliferative syndrome,MONDO_0017979,MONDO,disease / other candidate,ASSOCIATED_WITH,0.0692116726040046,8,,,,,,,"[""OPEN_TARGETS""]"
hyperostosis,MONDO_0002185,MONDO,disease / other candidate,ASSOCIATED_WITH,0.069180615042626,9,,,,,,,"[""OPEN_TARGETS""]"
head and neck squamous cell carcinoma,EFO_0000181,EFO,disease / other candidate,ASSOCIATED_WITH,0.06896706723661535,50,,,,,,,"[""OPEN_TARGETS""]"
nutritional disorder,EFO_0001069,EFO,disease / other candidate,ASSOCIATED_WITH,0.06893477365549994,9,,,,,,,"[""OPEN_TARGETS""]"
congenital hypogonadotropic hypogonadism,MONDO_0015770,MONDO,disease / other candidate,ASSOCIATED_WITH,0.06871937019686121,10,,,,,,,"[""OPEN_TARGETS""]"
Inherited cancer-predisposing syndrome,Orphanet_140162,Orphanet,disease / other candidate,ASSOCIATED_WITH,0.06866167878154493,6,,,,,,,"[""OPEN_TARGETS""]"
cholestasis,MONDO_0001751,MONDO,disease / other candidate,ASSOCIATED_WITH,0.06847508512549774,15,,,,,,,"[""OPEN_TARGETS""]"
autosomal agammaglobulinemia,MONDO_0011096,MONDO,disease / other candidate,ASSOCIATED_WITH,0.06837576359307519,3,,,,,,,"[""OPEN_TARGETS""]"
gamma chain deficiency,EFO_0005555,EFO,disease / other candidate,ASSOCIATED_WITH,0.06834671051005413,5,,,,,,,"[""OPEN_TARGETS""]"
intrahepatic cholestasis,MONDO_0019072,MONDO,disease / other candidate,ASSOCIATED_WITH,0.06828850197045809,14,,,,,,,"[""OPEN_TARGETS""]"
inborn carbohydrate metabolic disorder,MONDO_0019214,MONDO,disease / other candidate,ASSOCIATED_WITH,0.06819492245604446,34,,,,,,,"[""OPEN_TARGETS""]"
carbohydrate metabolism disease,MONDO_0037792,MONDO,disease / other candidate,ASSOCIATED_WITH,0.06819492245604446,34,,,,,,,"[""OPEN_TARGETS""]"
immunodeficiency 72 with autoinflammation,MONDO_0033551,MONDO,disease / other candidate,ASSOCIATED_WITH,0.06806644578691824,4,,,,,,,"[""OPEN_TARGETS""]"
mouth neoplasm,EFO_0003868,EFO,disease / other candidate,ASSOCIATED_WITH,0.0680376626603839,38,,,,,,,"[""OPEN_TARGETS""]"
oral cavity cancer,EFO_0005570,EFO,disease / other candidate,ASSOCIATED_WITH,0.0680376626603839,38,,,,,,,"[""OPEN_TARGETS""]"
Immunodeficiency by defective expression of HLA class 2,Orphanet_572,Orphanet,disease / other candidate,ASSOCIATED_WITH,0.06795321062588568,4,,,,,,,"[""OPEN_TARGETS""]"
infertility,EFO_0000545,EFO,disease / other candidate,ASSOCIATED_WITH,0.06790991248124911,14,,,,,,,"[""OPEN_TARGETS""]"
triple-negative breast cancer,EFO_0005537,EFO,disease / other candidate,ASSOCIATED_WITH,0.06785332933020712,16,,,,,,,"[""OPEN_TARGETS""]"
HER2 negative breast carcinoma,EFO_0009780,EFO,disease / other candidate,ASSOCIATED_WITH,0.06785332933020712,16,,,,,,,"[""OPEN_TARGETS""]"
progesterone-receptor negative breast cancer,EFO_0009781,EFO,disease / other candidate,ASSOCIATED_WITH,0.06785332933020712,16,,,,,,,"[""OPEN_TARGETS""]"
Breast Carcinoma by Gene Expression Profile,EFO_1000143,EFO,disease / other candidate,ASSOCIATED_WITH,0.06785332933020712,16,,,,,,,"[""OPEN_TARGETS""]"
estrogen-receptor negative breast cancer,EFO_1000650,EFO,disease / other candidate,ASSOCIATED_WITH,0.06785332933020712,16,,,,,,,"[""OPEN_TARGETS""]"
Immune dysregulation disease with immunodeficiency,Orphanet_169361,Orphanet,disease / other candidate,ASSOCIATED_WITH,0.06779514893781237,12,,,,,,,"[""OPEN_TARGETS""]"
tooth disease,EFO_1001216,EFO,disease / other candidate,ASSOCIATED_WITH,0.06764956161115897,56,,,,,,,"[""OPEN_TARGETS""]"
candidiasis,MONDO_0002026,MONDO,disease / other candidate,ASSOCIATED_WITH,0.06745919208521578,12,,,,,,,"[""OPEN_TARGETS""]"
lip and oral cavity carcinoma,MONDO_0023644,MONDO,disease / other candidate,ASSOCIATED_WITH,0.06713013786652229,22,,,,,,,"[""OPEN_TARGETS""]"
oral cavity carcinoma,MONDO_0044925,MONDO,disease / other candidate,ASSOCIATED_WITH,0.06713013786652229,22,,,,,,,"[""OPEN_TARGETS""]"
oral squamous cell carcinoma,EFO_0000199,EFO,disease / other candidate,ASSOCIATED_WITH,0.06712419614494324,21,,,,,,,"[""OPEN_TARGETS""]"
lip and oral cavity squamous cell carcinoma,MONDO_0044710,MONDO,disease / other candidate,ASSOCIATED_WITH,0.06712419614494324,21,,,,,,,"[""OPEN_TARGETS""]"
porphyrin metabolism disease,MONDO_0037821,MONDO,disease / other candidate,ASSOCIATED_WITH,0.06707589227558994,16,,,,,,,"[""OPEN_TARGETS""]"
immunodeficiency 18,MONDO_0014278,MONDO,disease / other candidate,ASSOCIATED_WITH,0.06696047807177427,3,,,,,,,"[""OPEN_TARGETS""]"
mineral metabolism disease,EFO_0009556,EFO,disease / other candidate,ASSOCIATED_WITH,0.06693514274419847,7,,,,,,,"[""OPEN_TARGETS""]"
