disease_name,disease_id,ontology_prefix,display_group,relation,evidence_score,evidence_count,number_of_pmids,number_of_snps,disease_specificity_index,disease_pleiotropy_index,year_initial,year_final,direct_sources
measurement,EFO_0001444,EFO,trait / measurement candidate,ASSOCIATED_WITH,0.5117945789700696,132,,,,,,,"[""OPEN_TARGETS""]"
protein measurement,EFO_0004747,EFO,trait / measurement candidate,ASSOCIATED_WITH,0.476435750358249,23,,,,,,,"[""OPEN_TARGETS""]"
blood protein measurement,EFO_0007937,EFO,trait / measurement candidate,ASSOCIATED_WITH,0.44326191701935347,6,,,,,,,"[""OPEN_TARGETS""]"
galectin-3 measurement,EFO_0008137,EFO,trait / measurement candidate,ASSOCIATED_WITH,0.43841539145831326,5,,,,,,,"[""OPEN_TARGETS""]"
hematological measurement,EFO_0004503,EFO,trait / measurement candidate,ASSOCIATED_WITH,0.4348340927377772,39,,,,,,,"[""OPEN_TARGETS""]"
phenotype,EFO_0000651,EFO,trait / measurement candidate,ASSOCIATED_WITH,0.4018576630817705,1791,,,,,,,"[""OPEN_TARGETS""]"
musculoskeletal or connective tissue disease,OTAR_0000006,OTAR,disease / other candidate,ASSOCIATED_WITH,0.39357421378123847,722,,,,,,,"[""OPEN_TARGETS""]"
musculoskeletal system disease,EFO_0009676,EFO,disease / other candidate,ASSOCIATED_WITH,0.3935738935117794,708,,,,,,,"[""OPEN_TARGETS""]"
skeletal system disease,EFO_0002461,EFO,disease / other candidate,ASSOCIATED_WITH,0.3931452401606815,503,,,,,,,"[""OPEN_TARGETS""]"
bone disease,EFO_0004260,EFO,disease / other candidate,ASSOCIATED_WITH,0.39218909968764776,357,,,,,,,"[""OPEN_TARGETS""]"
connective tissue disease,EFO_1001986,EFO,disease / other candidate,ASSOCIATED_WITH,0.3907594034948736,339,,,,,,,"[""OPEN_TARGETS""]"
rheumatic disease,EFO_0005755,EFO,disease / other candidate,ASSOCIATED_WITH,0.38851013076906377,134,,,,,,,"[""OPEN_TARGETS""]"
bone inflammation disease,MONDO_0002614,MONDO,disease / other candidate,ASSOCIATED_WITH,0.38208212481142306,57,,,,,,,"[""OPEN_TARGETS""]"
joint disease,EFO_1000999,EFO,disease / other candidate,ASSOCIATED_WITH,0.38093526158706514,63,,,,,,,"[""OPEN_TARGETS""]"
arthritis,EFO_0005856,EFO,disease / other candidate,ASSOCIATED_WITH,0.38022970845088677,56,,,,,,,"[""OPEN_TARGETS""]"
complete blood cell count,EFO_0004586,EFO,trait / measurement candidate,ASSOCIATED_WITH,0.3723998800549377,12,,,,,,,"[""OPEN_TARGETS""]"
reticulocyte measurement,EFO_0010700,EFO,trait / measurement candidate,ASSOCIATED_WITH,0.3695041888579038,3,,,,,,,"[""OPEN_TARGETS""]"
eosinophil count,EFO_0004842,EFO,trait / measurement candidate,ASSOCIATED_WITH,0.36553232502194843,10,,,,,,,"[""OPEN_TARGETS""]"
granulocyte count,EFO_0007987,EFO,trait / measurement candidate,ASSOCIATED_WITH,0.36553232502194843,10,,,,,,,"[""OPEN_TARGETS""]"
eosinophil measurement,EFO_0803540,EFO,trait / measurement candidate,ASSOCIATED_WITH,0.36553232502194843,10,,,,,,,"[""OPEN_TARGETS""]"
platelet volume,OBA_0003277,OBA,trait / measurement candidate,ASSOCIATED_WITH,0.3602420333792718,13,,,,,,,"[""OPEN_TARGETS""]"
osteoarthritis,MONDO_0005178,MONDO,disease / other candidate,ASSOCIATED_WITH,0.35842861577132934,30,,,,,,,"[""OPEN_TARGETS""]"
lipid measurement,EFO_0004529,EFO,trait / measurement candidate,ASSOCIATED_WITH,0.3343499918754995,3,,,,,,,"[""OPEN_TARGETS""]"
lipid or lipoprotein measurement,EFO_0005105,EFO,trait / measurement candidate,ASSOCIATED_WITH,0.3343499918754995,3,,,,,,,"[""OPEN_TARGETS""]"
eosinophil percentage of leukocytes,EFO_0007991,EFO,trait / measurement candidate,ASSOCIATED_WITH,0.3132315923693628,3,,,,,,,"[""OPEN_TARGETS""]"
amount,PATO_0000070,PATO,trait / measurement candidate,ASSOCIATED_WITH,0.3009255437713684,2,,,,,,,"[""OPEN_TARGETS""]"
reticulocyte count,EFO_0007986,EFO,trait / measurement candidate,ASSOCIATED_WITH,0.29136180195949174,1,,,,,,,"[""OPEN_TARGETS""]"
cardiovascular measurement,EFO_0004298,EFO,trait / measurement candidate,ASSOCIATED_WITH,0.28956388097594205,5,,,,,,,"[""OPEN_TARGETS""]"
arterial stiffness measurement,EFO_0004517,EFO,trait / measurement candidate,ASSOCIATED_WITH,0.28755300725270966,1,,,,,,,"[""OPEN_TARGETS""]"
cardiovascular disease biomarker measurement,EFO_0005278,EFO,trait / measurement candidate,ASSOCIATED_WITH,0.28755300725270966,1,,,,,,,"[""OPEN_TARGETS""]"
high density lipoprotein cholesterol measurement,EFO_0004612,EFO,trait / measurement candidate,ASSOCIATED_WITH,0.27147863714059084,1,,,,,,,"[""OPEN_TARGETS""]"
lipoprotein measurement,EFO_0004732,EFO,trait / measurement candidate,ASSOCIATED_WITH,0.27147863714059084,1,,,,,,,"[""OPEN_TARGETS""]"
hemoglobin measurement,EFO_0004509,EFO,trait / measurement candidate,ASSOCIATED_WITH,0.2631408716891897,11,,,,,,,"[""OPEN_TARGETS""]"
triglycerides:total lipids ratio,EFO_0020947,EFO,disease / other candidate,ASSOCIATED_WITH,0.24778962039278757,1,,,,,,,"[""OPEN_TARGETS""]"
chylomicron amount,OBA_2050296,OBA,trait / measurement candidate,ASSOCIATED_WITH,0.24778962039278757,1,,,,,,,"[""OPEN_TARGETS""]"
myeloid leukocyte count,OBA_2045223,OBA,trait / measurement candidate,ASSOCIATED_WITH,0.2125436935143232,1,,,,,,,"[""OPEN_TARGETS""]"
leukocyte quantity,OBA_VT0000217,OBA,disease / other candidate,ASSOCIATED_WITH,0.2125436935143232,1,,,,,,,"[""OPEN_TARGETS""]"
glucose measurement,EFO_0004468,EFO,trait / measurement candidate,ASSOCIATED_WITH,0.20592006677202934,1,,,,,,,"[""OPEN_TARGETS""]"
HbA1c measurement,EFO_0004541,EFO,trait / measurement candidate,ASSOCIATED_WITH,0.20592006677202934,1,,,,,,,"[""OPEN_TARGETS""]"
glycoprotein measurement,EFO_0004555,EFO,trait / measurement candidate,ASSOCIATED_WITH,0.20592006677202934,1,,,,,,,"[""OPEN_TARGETS""]"
diabetes mellitus biomarker,EFO_0006842,EFO,trait / measurement candidate,ASSOCIATED_WITH,0.20592006677202934,1,,,,,,,"[""OPEN_TARGETS""]"
heart rate,OBA_1001087,OBA,disease / other candidate,ASSOCIATED_WITH,0.20495459476868266,2,,,,,,,"[""OPEN_TARGETS""]"
platelet count,EFO_0004309,EFO,trait / measurement candidate,ASSOCIATED_WITH,0.2008018061830722,2,,,,,,,"[""OPEN_TARGETS""]"
platelet component distribution width,EFO_0007984,EFO,disease / other candidate,ASSOCIATED_WITH,0.1756238755055615,1,,,,,,,"[""OPEN_TARGETS""]"
Red cell distribution width,EFO_0009188,EFO,disease / other candidate,ASSOCIATED_WITH,0.16983666480363965,4,,,,,,,"[""OPEN_TARGETS""]"
cancer or benign tumor,MONDO_0045024,MONDO,disease / other candidate,ASSOCIATED_WITH,0.15773932213294165,6415,,,,,,,"[""OPEN_TARGETS""]"
neoplastic disease or syndrome,MONDO_0023370,MONDO,disease / other candidate,ASSOCIATED_WITH,0.15773907439892831,6379,,,,,,,"[""OPEN_TARGETS""]"
neoplasm,EFO_0000616,EFO,disease / other candidate,ASSOCIATED_WITH,0.15704739109995322,6317,,,,,,,"[""OPEN_TARGETS""]"
endocrine system disease,EFO_0001379,EFO,disease / other candidate,ASSOCIATED_WITH,0.15588759067113564,2256,,,,,,,"[""OPEN_TARGETS""]"
gastrointestinal disease,EFO_0010282,EFO,disease / other candidate,ASSOCIATED_WITH,0.15578012459845714,1280,,,,,,,"[""OPEN_TARGETS""]"
hepatobiliary disease,EFO_0010284,EFO,disease / other candidate,ASSOCIATED_WITH,0.15394822127595797,635,,,,,,,"[""OPEN_TARGETS""]"
liver disease,EFO_0001421,EFO,disease / other candidate,ASSOCIATED_WITH,0.15388694951014256,616,,,,,,,"[""OPEN_TARGETS""]"
cancer,MONDO_0004992,MONDO,disease / other candidate,ASSOCIATED_WITH,0.15264997723534238,3659,,,,,,,"[""OPEN_TARGETS""]"
digestive system neoplasm,EFO_0008549,EFO,disease / other candidate,ASSOCIATED_WITH,0.15200648627520397,701,,,,,,,"[""OPEN_TARGETS""]"
digestive system cancer,MONDO_0002516,MONDO,disease / other candidate,ASSOCIATED_WITH,0.1511786946053101,576,,,,,,,"[""OPEN_TARGETS""]"
"genetic, familial or congenital disease",OTAR_0000018,OTAR,disease / other candidate,ASSOCIATED_WITH,0.15044969606038616,1628,,,,,,,"[""OPEN_TARGETS""]"
genetic disorder,EFO_0000508,EFO,disease / other candidate,ASSOCIATED_WITH,0.15031119869284756,1588,,,,,,,"[""OPEN_TARGETS""]"
endocrine neoplasm,EFO_0003769,EFO,disease / other candidate,ASSOCIATED_WITH,0.14926350386463888,1024,,,,,,,"[""OPEN_TARGETS""]"
malignant endocrine neoplasm,MONDO_0021069,MONDO,disease / other candidate,ASSOCIATED_WITH,0.14870208547022118,731,,,,,,,"[""OPEN_TARGETS""]"
Hepatobiliary Neoplasm,EFO_0008550,EFO,disease / other candidate,ASSOCIATED_WITH,0.1483016058905332,258,,,,,,,"[""OPEN_TARGETS""]"
liver and intrahepatic bile duct neoplasm,MONDO_0024477,MONDO,disease / other candidate,ASSOCIATED_WITH,0.1483016058905332,258,,,,,,,"[""OPEN_TARGETS""]"
liver cancer,MONDO_0002691,MONDO,disease / other candidate,ASSOCIATED_WITH,0.1476037833569547,191,,,,,,,"[""OPEN_TARGETS""]"
immune system disease,EFO_0000540,EFO,disease / other candidate,ASSOCIATED_WITH,0.1472855172043362,1021,,,,,,,"[""OPEN_TARGETS""]"
epithelial neoplasm,EFO_0006858,EFO,disease / other candidate,ASSOCIATED_WITH,0.1452378335083822,1666,,,,,,,"[""OPEN_TARGETS""]"
carcinoma,EFO_0000313,EFO,disease / other candidate,ASSOCIATED_WITH,0.14516800769114488,1464,,,,,,,"[""OPEN_TARGETS""]"
respiratory system disease,EFO_0000684,EFO,disease / other candidate,ASSOCIATED_WITH,0.1450312654860906,642,,,,,,,"[""OPEN_TARGETS""]"
respiratory or thoracic disease,OTAR_0000010,OTAR,disease / other candidate,ASSOCIATED_WITH,0.1450312654860906,642,,,,,,,"[""OPEN_TARGETS""]"
cardiovascular disease,EFO_0000319,EFO,disease / other candidate,ASSOCIATED_WITH,0.1446057014398476,2181,,,,,,,"[""OPEN_TARGETS""]"
Digestive System Carcinoma,EFO_1000218,EFO,disease / other candidate,ASSOCIATED_WITH,0.14402480877186521,367,,,,,,,"[""OPEN_TARGETS""]"
carcinoma of liver and intrahepatic biliary tract,MONDO_0018531,MONDO,disease / other candidate,ASSOCIATED_WITH,0.14298078226381183,178,,,,,,,"[""OPEN_TARGETS""]"
lower respiratory tract disease,EFO_0009433,EFO,disease / other candidate,ASSOCIATED_WITH,0.14195320038271927,476,,,,,,,"[""OPEN_TARGETS""]"
lung disease,EFO_0003818,EFO,disease / other candidate,ASSOCIATED_WITH,0.1419468258135853,455,,,,,,,"[""OPEN_TARGETS""]"
vascular disease,EFO_0004264,EFO,disease / other candidate,ASSOCIATED_WITH,0.14140440240411944,730,,,,,,,"[""OPEN_TARGETS""]"
intestinal disease,EFO_0009431,EFO,disease / other candidate,ASSOCIATED_WITH,0.13951977233845933,286,,,,,,,"[""OPEN_TARGETS""]"
biliary tract disease,EFO_0009534,EFO,disease / other candidate,ASSOCIATED_WITH,0.1390373417045678,85,,,,,,,"[""OPEN_TARGETS""]"
integumentary system disease,EFO_0010285,EFO,disease / other candidate,ASSOCIATED_WITH,0.13873640009229626,596,,,,,,,"[""OPEN_TARGETS""]"
metabolic disease,EFO_0000589,EFO,disease / other candidate,ASSOCIATED_WITH,0.1370865693186802,715,,,,,,,"[""OPEN_TARGETS""]"
nutritional or metabolic disease,OTAR_0000020,OTAR,disease / other candidate,ASSOCIATED_WITH,0.1370865693186802,715,,,,,,,"[""OPEN_TARGETS""]"
neoplasm of thorax,MONDO_0021350,MONDO,disease / other candidate,ASSOCIATED_WITH,0.13643831822574007,661,,,,,,,"[""OPEN_TARGETS""]"
nervous system disease,EFO_0000618,EFO,disease / other candidate,ASSOCIATED_WITH,0.13620405839369149,1215,,,,,,,"[""OPEN_TARGETS""]"
biliary tract neoplasm,EFO_0003891,EFO,disease / other candidate,ASSOCIATED_WITH,0.13578990764877064,54,,,,,,,"[""OPEN_TARGETS""]"
respiratory system neoplasm,EFO_0003853,EFO,disease / other candidate,ASSOCIATED_WITH,0.1356366663043139,344,,,,,,,"[""OPEN_TARGETS""]"
central nervous system disease,EFO_0009386,EFO,disease / other candidate,ASSOCIATED_WITH,0.13556251206884604,961,,,,,,,"[""OPEN_TARGETS""]"
hematologic disease,EFO_0005803,EFO,disease / other candidate,ASSOCIATED_WITH,0.13540272679878984,529,,,,,,,"[""OPEN_TARGETS""]"
glandular cell neoplasm,MONDO_0024276,MONDO,disease / other candidate,ASSOCIATED_WITH,0.13445387678451162,703,,,,,,,"[""OPEN_TARGETS""]"
reproductive system or breast disease,OTAR_0000017,OTAR,disease / other candidate,ASSOCIATED_WITH,0.13437966943125954,878,,,,,,,"[""OPEN_TARGETS""]"
adenocarcinoma,EFO_0000228,EFO,disease / other candidate,ASSOCIATED_WITH,0.1343218485197045,681,,,,,,,"[""OPEN_TARGETS""]"
lung neoplasm,MONDO_0021117,MONDO,disease / other candidate,ASSOCIATED_WITH,0.13428394800206123,317,,,,,,,"[""OPEN_TARGETS""]"
brain disease,EFO_0005774,EFO,disease / other candidate,ASSOCIATED_WITH,0.13412572898565578,574,,,,,,,"[""OPEN_TARGETS""]"
reproductive system disease,EFO_0000512,EFO,disease / other candidate,ASSOCIATED_WITH,0.13308503298411334,549,,,,,,,"[""OPEN_TARGETS""]"
infectious disease,EFO_0005741,EFO,disease / other candidate,ASSOCIATED_WITH,0.13274456961091172,603,,,,,,,"[""OPEN_TARGETS""]"
skin disease,EFO_0000701,EFO,disease / other candidate,ASSOCIATED_WITH,0.13178585573303683,264,,,,,,,"[""OPEN_TARGETS""]"
large intestine disorder,MONDO_0024634,MONDO,disease / other candidate,ASSOCIATED_WITH,0.13153132616401486,248,,,,,,,"[""OPEN_TARGETS""]"
biliary tract cancer,MONDO_0003060,MONDO,disease / other candidate,ASSOCIATED_WITH,0.1315075691552878,35,,,,,,,"[""OPEN_TARGETS""]"
fatty liver disease,MONDO_0004790,MONDO,disease / other candidate,ASSOCIATED_WITH,0.13137799082100202,167,,,,,,,"[""OPEN_TARGETS""]"
non-alcoholic fatty liver disease,EFO_0003095,EFO,disease / other candidate,ASSOCIATED_WITH,0.13137346660771906,160,,,,,,,"[""OPEN_TARGETS""]"
hereditary neurological disease,MONDO_0100545,MONDO,disease / other candidate,ASSOCIATED_WITH,0.13093291104571497,266,,,,,,,"[""OPEN_TARGETS""]"
heart disease,EFO_0003777,EFO,disease / other candidate,ASSOCIATED_WITH,0.13088251326874406,1462,,,,,,,"[""OPEN_TARGETS""]"
hepatocellular carcinoma,EFO_0000182,EFO,disease / other candidate,ASSOCIATED_WITH,0.13057129660339103,145,,,,,,,"[""OPEN_TARGETS""]"
psychiatric disorder,MONDO_0002025,MONDO,disease / other candidate,ASSOCIATED_WITH,0.13035098918303695,318,,,,,,,"[""OPEN_TARGETS""]"
mental or behavioural disorder,EFO_0000677,EFO,disease / other candidate,ASSOCIATED_WITH,0.13021730344242438,277,,,,,,,"[""OPEN_TARGETS""]"
disorder of visual system,MONDO_0024458,MONDO,disease / other candidate,ASSOCIATED_WITH,0.13020776487483307,200,,,,,,,"[""OPEN_TARGETS""]"
eye disease,EFO_0003966,EFO,disease / other candidate,ASSOCIATED_WITH,0.1301676045102956,192,,,,,,,"[""OPEN_TARGETS""]"
bile duct disorder,MONDO_0002887,MONDO,disease / other candidate,ASSOCIATED_WITH,0.1299938864938765,53,,,,,,,"[""OPEN_TARGETS""]"
brain attribute,OBA_2045210,OBA,disease / other candidate,ASSOCIATED_WITH,0.1290190300081426,1,,,,,,,"[""OPEN_TARGETS""]"
female reproductive system disease,EFO_0009549,EFO,disease / other candidate,ASSOCIATED_WITH,0.12886738502449557,263,,,,,,,"[""OPEN_TARGETS""]"
neurodegenerative disease,EFO_0005772,EFO,disease / other candidate,ASSOCIATED_WITH,0.12804630060925892,365,,,,,,,"[""OPEN_TARGETS""]"
urinary system disease,EFO_0009690,EFO,disease / other candidate,ASSOCIATED_WITH,0.12738942381634882,615,,,,,,,"[""OPEN_TARGETS""]"
glucose metabolism disease,EFO_0009406,EFO,disease / other candidate,ASSOCIATED_WITH,0.12728465309755238,385,,,,,,,"[""OPEN_TARGETS""]"
autoimmune disease,EFO_0005140,EFO,disease / other candidate,ASSOCIATED_WITH,0.12701496068416554,260,,,,,,,"[""OPEN_TARGETS""]"
bile duct carcinoma,EFO_0005540,EFO,disease / other candidate,ASSOCIATED_WITH,0.12679271684026416,31,,,,,,,"[""OPEN_TARGETS""]"
bile duct cancer,MONDO_0003059,MONDO,disease / other candidate,ASSOCIATED_WITH,0.12679271684026416,31,,,,,,,"[""OPEN_TARGETS""]"
bile duct neoplasm,MONDO_0021662,MONDO,disease / other candidate,ASSOCIATED_WITH,0.12679271684026416,31,,,,,,,"[""OPEN_TARGETS""]"
kidney disease,EFO_0003086,EFO,disease / other candidate,ASSOCIATED_WITH,0.12592923146643917,541,,,,,,,"[""OPEN_TARGETS""]"
pancreas disease,EFO_0009605,EFO,disease / other candidate,ASSOCIATED_WITH,0.12577107466162257,475,,,,,,,"[""OPEN_TARGETS""]"
colorectal cancer,MONDO_0005575,MONDO,disease / other candidate,ASSOCIATED_WITH,0.12570526947007707,164,,,,,,,"[""OPEN_TARGETS""]"
hematopoietic and lymphoid system neoplasm,MONDO_0002334,MONDO,disease / other candidate,ASSOCIATED_WITH,0.12541278171124012,369,,,,,,,"[""OPEN_TARGETS""]"
intestinal neoplasm,MONDO_0021118,MONDO,disease / other candidate,ASSOCIATED_WITH,0.12536802978876904,173,,,,,,,"[""OPEN_TARGETS""]"
colorectal neoplasm,EFO_0004142,EFO,disease / other candidate,ASSOCIATED_WITH,0.12536053024571736,171,,,,,,,"[""OPEN_TARGETS""]"
intestinal cancer,EFO_0007330,EFO,disease / other candidate,ASSOCIATED_WITH,0.12535935453634814,163,,,,,,,"[""OPEN_TARGETS""]"
hematopoietic and lymphoid cell neoplasm,MONDO_0044881,MONDO,disease / other candidate,ASSOCIATED_WITH,0.12459569463840733,317,,,,,,,"[""OPEN_TARGETS""]"
endocrine pancreas disorder,MONDO_0001933,MONDO,disease / other candidate,ASSOCIATED_WITH,0.12417629051452062,387,,,,,,,"[""OPEN_TARGETS""]"
diabetes mellitus,EFO_0000400,EFO,disease / other candidate,ASSOCIATED_WITH,0.12417495196909274,374,,,,,,,"[""OPEN_TARGETS""]"
gonadal disorder,MONDO_0002259,MONDO,disease / other candidate,ASSOCIATED_WITH,0.12335344510570266,134,,,,,,,"[""OPEN_TARGETS""]"
viral disease,EFO_0000763,EFO,disease / other candidate,ASSOCIATED_WITH,0.12328445940962963,288,,,,,,,"[""OPEN_TARGETS""]"
inflammatory bowel disease,EFO_0003767,EFO,disease / other candidate,ASSOCIATED_WITH,0.12277150712206297,103,,,,,,,"[""OPEN_TARGETS""]"
Rare genetic tumor,Orphanet_68336,Orphanet,disease / other candidate,ASSOCIATED_WITH,0.12205199258379111,213,,,,,,,"[""OPEN_TARGETS""]"
primary viral infectious disease,MONDO_0100329,MONDO,disease / other candidate,ASSOCIATED_WITH,0.12187847164131764,231,,,,,,,"[""OPEN_TARGETS""]"
ovarian disease,EFO_0005771,EFO,disease / other candidate,ASSOCIATED_WITH,0.12169925075261116,111,,,,,,,"[""OPEN_TARGETS""]"
Genetic tumor of hematopoietic and lymphoid tissues,Orphanet_322126,Orphanet,disease / other candidate,ASSOCIATED_WITH,0.12164689347803254,199,,,,,,,"[""OPEN_TARGETS""]"
lymphoid hemopathy,MONDO_0015757,MONDO,disease / other candidate,ASSOCIATED_WITH,0.12081533793196847,173,,,,,,,"[""OPEN_TARGETS""]"
lymphoid neoplasm,EFO_0001642,EFO,disease / other candidate,ASSOCIATED_WITH,0.12081519136623661,170,,,,,,,"[""OPEN_TARGETS""]"
lymphoma,EFO_0000574,EFO,disease / other candidate,ASSOCIATED_WITH,0.12081453716707893,168,,,,,,,"[""OPEN_TARGETS""]"
hypersensitivity reaction disease,EFO_1002003,EFO,disease / other candidate,ASSOCIATED_WITH,0.11976421272726635,259,,,,,,,"[""OPEN_TARGETS""]"
type II hypersensitivity reaction disease,EFO_0005809,EFO,disease / other candidate,ASSOCIATED_WITH,0.11965936206839516,186,,,,,,,"[""OPEN_TARGETS""]"
non-alcoholic steatohepatitis,EFO_1001249,EFO,disease / other candidate,ASSOCIATED_WITH,0.11832214718359908,105,,,,,,,"[""OPEN_TARGETS""]"
non-Hodgkins lymphoma,EFO_0005952,EFO,disease / other candidate,ASSOCIATED_WITH,0.11766896928748803,109,,,,,,,"[""OPEN_TARGETS""]"
connective tissue neoplasm,MONDO_0021581,MONDO,disease / other candidate,ASSOCIATED_WITH,0.11752724981857224,198,,,,,,,"[""OPEN_TARGETS""]"
bone neoplasm,EFO_0003820,EFO,disease / other candidate,ASSOCIATED_WITH,0.11752648526047557,190,,,,,,,"[""OPEN_TARGETS""]"
cardiac arrhythmia,EFO_0004269,EFO,disease / other candidate,ASSOCIATED_WITH,0.11750168774457574,185,,,,,,,"[""OPEN_TARGETS""]"
cardiac rhythm disease,MONDO_0007263,MONDO,disease / other candidate,ASSOCIATED_WITH,0.11749690011249028,177,,,,,,,"[""OPEN_TARGETS""]"
atrial fibrillation,EFO_0000275,EFO,disease / other candidate,ASSOCIATED_WITH,0.11749532810116906,171,,,,,,,"[""OPEN_TARGETS""]"
hereditary skin disorder,MONDO_0100118,MONDO,disease / other candidate,ASSOCIATED_WITH,0.11702345477800805,98,,,,,,,"[""OPEN_TARGETS""]"
melanoma,EFO_0000756,EFO,disease / other candidate,ASSOCIATED_WITH,0.11627802521854765,190,,,,,,,"[""OPEN_TARGETS""]"
melanocytic neoplasm,MONDO_0021143,MONDO,disease / other candidate,ASSOCIATED_WITH,0.11627802521854765,190,,,,,,,"[""OPEN_TARGETS""]"
arterial disorder,MONDO_0000473,MONDO,disease / other candidate,ASSOCIATED_WITH,0.11623079140335328,514,,,,,,,"[""OPEN_TARGETS""]"
male reproductive system disease,EFO_0009555,EFO,disease / other candidate,ASSOCIATED_WITH,0.11621725512842769,203,,,,,,,"[""OPEN_TARGETS""]"
dermatitis,MONDO_0002406,MONDO,disease / other candidate,ASSOCIATED_WITH,0.11620898002666119,89,,,,,,,"[""OPEN_TARGETS""]"
autosomal genetic disease,MONDO_0000429,MONDO,disease / other candidate,ASSOCIATED_WITH,0.11577793414914182,133,,,,,,,"[""OPEN_TARGETS""]"
thoracic cancer,MONDO_0003274,MONDO,disease / other candidate,ASSOCIATED_WITH,0.11548988850807632,505,,,,,,,"[""OPEN_TARGETS""]"
cognitive disorder,MONDO_0002039,MONDO,disease / other candidate,ASSOCIATED_WITH,0.11504089708772747,207,,,,,,,"[""OPEN_TARGETS""]"
muscle tissue disorder,MONDO_0003939,MONDO,disease / other candidate,ASSOCIATED_WITH,0.11503234728696542,205,,,,,,,"[""OPEN_TARGETS""]"
respiratory system cancer,MONDO_0000376,MONDO,disease / other candidate,ASSOCIATED_WITH,0.11455750295178585,207,,,,,,,"[""OPEN_TARGETS""]"
dementia,MONDO_0001627,MONDO,disease / other candidate,ASSOCIATED_WITH,0.11450758654645206,183,,,,,,,"[""OPEN_TARGETS""]"
lung carcinoma,EFO_0001071,EFO,disease / other candidate,ASSOCIATED_WITH,0.11431732426106413,114,,,,,,,"[""OPEN_TARGETS""]"
autosomal recessive disease,EFO_1000017,EFO,disease / other candidate,ASSOCIATED_WITH,0.11405403905096324,90,,,,,,,"[""OPEN_TARGETS""]"
cholangiocarcinoma,EFO_0005221,EFO,disease / other candidate,ASSOCIATED_WITH,0.11380163925265456,29,,,,,,,"[""OPEN_TARGETS""]"
extrahepatic bile duct adenocarcinoma,MONDO_0002665,MONDO,disease / other candidate,ASSOCIATED_WITH,0.11380163925265456,29,,,,,,,"[""OPEN_TARGETS""]"
extrahepatic bile duct carcinoma,MONDO_0003090,MONDO,disease / other candidate,ASSOCIATED_WITH,0.11380163925265456,29,,,,,,,"[""OPEN_TARGETS""]"
bile duct adenocarcinoma,MONDO_0003193,MONDO,disease / other candidate,ASSOCIATED_WITH,0.11380163925265456,29,,,,,,,"[""OPEN_TARGETS""]"
adenocarcinoma of gallbladder and extrahepatic biliary tract,MONDO_0018536,MONDO,disease / other candidate,ASSOCIATED_WITH,0.11380163925265456,29,,,,,,,"[""OPEN_TARGETS""]"
carcinoma of gallbladder and extrahepatic biliary tract,MONDO_0018918,MONDO,disease / other candidate,ASSOCIATED_WITH,0.11380163925265456,29,,,,,,,"[""OPEN_TARGETS""]"
malignant tumor of extrahepatic bile duct,MONDO_0021321,MONDO,disease / other candidate,ASSOCIATED_WITH,0.11380163925265456,29,,,,,,,"[""OPEN_TARGETS""]"
extrahepatic bile duct neoplasm,MONDO_0021385,MONDO,disease / other candidate,ASSOCIATED_WITH,0.11380163925265456,29,,,,,,,"[""OPEN_TARGETS""]"
leukemia,EFO_0000565,EFO,disease / other candidate,ASSOCIATED_WITH,0.11342347382723755,176,,,,,,,"[""OPEN_TARGETS""]"
fungal infectious disease,MONDO_0002041,MONDO,disease / other candidate,ASSOCIATED_WITH,0.1133536988706785,47,,,,,,,"[""OPEN_TARGETS""]"
inborn errors of metabolism,MONDO_0019052,MONDO,disease / other candidate,ASSOCIATED_WITH,0.11320792254153146,177,,,,,,,"[""OPEN_TARGETS""]"
lung cancer,MONDO_0008903,MONDO,disease / other candidate,ASSOCIATED_WITH,0.11313079679317378,179,,,,,,,"[""OPEN_TARGETS""]"
Acute Leukemia,EFO_1000068,EFO,disease / other candidate,ASSOCIATED_WITH,0.11304506317463929,118,,,,,,,"[""OPEN_TARGETS""]"
Coronaviridae infectious disease,EFO_0007223,EFO,disease / other candidate,ASSOCIATED_WITH,0.11303127906640317,101,,,,,,,"[""OPEN_TARGETS""]"
Nidovirales infectious disease,EFO_0007396,EFO,disease / other candidate,ASSOCIATED_WITH,0.11303127906640317,101,,,,,,,"[""OPEN_TARGETS""]"
Orthocoronavirinae infectious disease,MONDO_0020753,MONDO,disease / other candidate,ASSOCIATED_WITH,0.11302923710528466,99,,,,,,,"[""OPEN_TARGETS""]"
COVID-19,MONDO_0100096,MONDO,disease / other candidate,ASSOCIATED_WITH,0.11302923710528466,99,,,,,,,"[""OPEN_TARGETS""]"
tauopathy,EFO_0005815,EFO,disease / other candidate,ASSOCIATED_WITH,0.11205405243403506,144,,,,,,,"[""OPEN_TARGETS""]"
Alzheimer disease,MONDO_0004975,MONDO,disease / other candidate,ASSOCIATED_WITH,0.11177856788015123,138,,,,,,,"[""OPEN_TARGETS""]"
upper respiratory tract disorder,MONDO_0004867,MONDO,disease / other candidate,ASSOCIATED_WITH,0.11156547092463394,85,,,,,,,"[""OPEN_TARGETS""]"
nervous system neoplasm,MONDO_0021248,MONDO,disease / other candidate,ASSOCIATED_WITH,0.11140304573009101,293,,,,,,,"[""OPEN_TARGETS""]"
Central Nervous System Neoplasm,EFO_1000158,EFO,disease / other candidate,ASSOCIATED_WITH,0.11128793029004475,243,,,,,,,"[""OPEN_TARGETS""]"
